factype,latitude,longitude
PUBLIC K-12 SCHOOLS,40.636608461,-74.132475811
PUBLIC K-12 SCHOOLS,40.888220095,-73.8526690893
PUBLIC K-12 SCHOOLS,40.718283981,-74.010969107
PUBLIC K-12 SCHOOLS,40.5979336711,-74.0701345294
PUBLIC K-12 SCHOOLS,40.821437596,-73.8558968346
PUBLIC K-12 SCHOOLS,40.7806540473,-73.947863621
PUBLIC K-12 SCHOOLS,40.6406075782,-73.9931465954
PUBLIC K-12 SCHOOLS,40.6762170855,-73.8798440525
PUBLIC K-12 SCHOOLS,40.8403479945,-73.9157635898
PUBLIC K-12 SCHOOLS,40.8607259235,-73.8689967909
PUBLIC K-12 SCHOOLS,40.8385942292,-73.9031143988
PUBLIC K-12 SCHOOLS,40.7998433786,-73.9371115937
PUBLIC K-12 SCHOOLS,40.810517898,-73.9487587602
PUBLIC K-12 SCHOOLS,40.8751847465,-73.8616346105
PUBLIC K-12 SCHOOLS,40.6990334568,-73.9023407097
PUBLIC K-12 SCHOOLS,40.6008441643,-73.976821001
PUBLIC K-12 SCHOOLS,40.7129831344,-73.9916747426
PUBLIC K-12 SCHOOLS,40.8751847465,-73.8616346105
PUBLIC K-12 SCHOOLS,40.823285793,-73.860075377
PUBLIC K-12 SCHOOLS,40.5915181707,-74.1900623536
PUBLIC K-12 SCHOOLS,40.8455120032,-73.9398994722
PUBLIC K-12 SCHOOLS,40.722388442,-73.9904854159
PUBLIC K-12 SCHOOLS,40.6345832553,-74.0977986719
PUBLIC K-12 SCHOOLS,40.8992783138,-73.866999715
PUBLIC K-12 SCHOOLS,40.689311464,-73.8730238623
PUBLIC K-12 SCHOOLS,40.6701525943,-73.8745232067
PUBLIC K-12 SCHOOLS,40.7900927243,-73.8396183995
PUBLIC K-12 SCHOOLS,40.8691472988,-73.9018339644
PUBLIC K-12 SCHOOLS,40.7552091602,-73.7707802975
PUBLIC K-12 SCHOOLS,40.5800146826,-73.9618366492
PUBLIC K-12 SCHOOLS,40.7925629979,-73.9420205308
PUBLIC K-12 SCHOOLS,40.8410279696,-73.9387510115
PUBLIC K-12 SCHOOLS,40.8783495126,-73.890843452
PUBLIC K-12 SCHOOLS,40.5894497054,-73.8059139057
PUBLIC K-12 SCHOOLS,40.7237671852,-73.981723206
PUBLIC K-12 SCHOOLS,40.8176923391,-73.9524939909
PUBLIC K-12 SCHOOLS,40.6749162505,-73.7756027695
PUBLIC K-12 SCHOOLS,40.714505,-73.798334
PUBLIC K-12 SCHOOLS,40.7751482339,-73.9528003079
PUBLIC K-12 SCHOOLS,40.6881739327,-73.7998525243
