total_units,latitude,longitude
11,40.877928,-73.863282
11,40.825108,-73.940244
9,40.825226,-73.940179
9,40.82529,-73.940132
10,40.824818,-73.940682
10,40.824823,-73.940696
10,40.82546,-73.940266
24,40.825482,-73.940324
24,40.825498,-73.940313
10,40.824842,-73.94074
10,40.660824,-73.939072
1,,
10,40.677791,-73.893349
8,40.693396,-73.925116
20,40.578025,-73.982883
16,40.836194,-73.938586
11,40.587495,-73.946534
1,,
1,,
8,40.675389,-73.936939
63,40.707973,-73.956588
154,40.575657,-73.961105
48,40.697965,-73.927599
8,40.698363,-73.928324
20,40.820997,-73.945418
34,40.808513,-73.949359
77,40.700831,-73.950274
1,,
28,40.844171,-73.892197
48,40.648856,-73.964536
10,40.690236,-73.928624
10,40.690252,-73.928495
16,40.653856,-73.954709
143,40.753253,-73.923688
6,40.659486,-73.949068
1,,
1,,
10,40.711023,-73.950338
208,40.782486,-73.946934
9,40.674983,-73.908737
9,40.675445,-73.909436
43,40.852537,-73.907293
1,,
1,,
56,40.612556,-73.955115
8,40.871929,-73.866133
150,40.656237,-74.002408
1122,40.74564,-73.94609
22,40.854968,-73.828171
7,40.6954,-73.930447
102,40.809719,-73.953411
1,,
8,40.645808,-73.952606
8,40.645662,-73.952596
50,40.725552,-73.859298
1,,
6,40.806551,-73.916872
20,40.683024,-73.853871
10,40.671978,-73.957509
1,,
1,,
17,40.867209,-73.899944
240,40.735319,-73.99165
1,40.639544,-73.910223
15,40.869694,-73.901007
32,40.686942,-73.954636
6,40.678125,-73.921986
6,40.678133,-73.922173
9,40.654816,-73.979583
55,40.805265,-73.923722
1,,
1,,
4,40.676446,-73.954045
9,40.675755,-73.95614
8,40.674802,-73.956465
8,40.674748,-73.956483
8,40.674693,-73.956505
8,40.67172,-73.957603
8,40.685324,-73.925839
8,40.685329,-73.925792
36,40.685516,-73.930562
12,40.685533,-73.930429
8,40.686032,-73.926076
8,40.686884,-73.931693
8,40.686914,-73.931444
12,40.67029,-73.890604
13,40.669832,-73.890489
20,40.675368,-73.957946
4,40.686498,-73.928531
9,40.686938,-73.929868
6,40.686144,-73.929692
6,40.686032,-73.929667
5,40.686257,-73.929736
20,40.670646,-73.931937
8,40.672558,-73.957984
4,40.673752,-73.959288
7,40.769338,-73.918059
1,,
1,,
605,40.703405,-73.795698
20,40.667616,-73.994218
1,,
64,40.871655,-73.905321
12,40.739406,-73.920214
15,40.849712,-73.929773
8,40.675142,-73.932296
1,,
1,,
115,40.717121,-73.988013
1,40.639836,-74.115461
17,40.755379,-73.936174
48,40.714414,-73.954978
8,40.675139,-73.93253
2,40.631258,-74.142863
21,40.766393,-73.926142
62,40.76017,-73.860015
8,40.688545,-73.956344
174,40.865947,-73.926075
42,40.601257,-73.747921
157,40.66174,-73.909671
113,40.803469,-73.935294
1,,
921,40.761614,-74.00022
22,40.824442,-73.897895
21,40.824477,-73.896843
20,40.824515,-73.896861
18,40.827643,-73.895754
6,40.826525,-73.891904
25,40.82683,-73.894964
8,40.675831,-73.955549
7,40.814447,-73.94434
10,40.811258,-73.940004
19,40.814198,-73.945117
