ntacode,ntaname,latitude,longitude,Population
QN51,Murray Hill,40.76835158791792,-73.80954590112775,51739
QN27,East Elmhurst,40.763352201155264,-73.86839559826987,23150
QN41,Fresh Meadows-Utopia,40.73489448639476,-73.78371636114144,17812
MN17,Midtown-Midtown South,40.755733929854735,-73.98350302087132,28630
BX09,Soundview-Castle Hill-Clason Point-Harding Park,40.81805458849719,-73.85618761808409,53686
QN08,St. Albans,40.69120183503448,-73.76314607498037,48593
BK69,Clinton Hill,40.68796681288217,-73.96236332341726,34791
BX26,Highbridge,40.83782589267865,-73.92615881201503,37727
BK26,Gravesend,40.58840281805082,-73.98143050413951,29436
BK46,Ocean Parkway South,40.6173149605957,-73.9703258001996,20299
BX55,Soundview-Bruckner,40.827900155002546,-73.86968191369107,35634
QN19,Glendale,40.70353497043596,-73.87574826054426,32496
BX28,Van Cortlandt Village,40.876513381930195,-73.89562209795781,50100
QN55,South Ozone Park,40.676155273601346,-73.81945921646091,75878
BK40,Windsor Terrace,40.6536119760564,-73.97798272747355,20988
BK50,Canarsie,40.638042327711965,-73.89975089660601,83693
SI32,Rossville-Woodrow,40.54033376720194,-74.20782757948685,20763
BX41,Mount Hope,40.84905813130867,-73.90512194941381,51807
MN12,Upper West Side,40.79037998138091,-73.97390784022548,132378
BX43,Norwood,40.877142279045074,-73.87902106926857,40494
BX05,Bedford Park-Fordham North,40.86768209053005,-73.8901836362078,54415
QN42,Oakland Gardens,40.742675812407576,-73.75461549910108,28237
QN26,North Corona,40.75257951269893,-73.86303630152253,52037
BK23,West Brighton,40.5790886862993,-73.97339094988965,17750
QN18,Rego Park,40.72615545587401,-73.86333861099067,28260
BX44,Williamsbridge-Olinville,40.882156187836735,-73.858949122879,61321
QN49,Whitestone,40.78819127627854,-73.81564320134655,30773
QN56,Ozone Park,40.67559942676986,-73.84704874573309,21376
BK41,Kensington-Ocean Parkway,40.640590131889915,-73.97619901935508,36891
QN03,Springfield Gardens South-Brookville,40.66218792310775,-73.76448889899105,20132
BK68,Fort Greene,40.69079510513449,-73.97488147952565,26079
BK93,Starrett City,40.647526284927736,-73.88241259897559,13354
MN21,Gramercy,40.73682434672817,-73.9840542975779,27988
BK79,Ocean Hill,40.67663761763486,-73.91364751083654,31935
BX34,Melrose South-Mott Haven North,40.81825954558028,-73.91285012599909,39214
BX35,Morrisania-Melrose,40.8275124428439,-73.90235187026127,37865
BX75,Crotona Park East,40.83399611808212,-73.8858973508187,20277
QN37,Kew Gardens Hills,40.72639943341965,-73.81866840459611,37479
QN38,Pomonok-Flushing Heights-Hillcrest,40.72833317193866,-73.80244496724222,34034
QN52,East Flushing,40.754108969452595,-73.80729444050496,26982
QN07,Hollis,40.71063933412504,-73.7611370511429,20269
QN05,Rosedale,40.657841468762136,-73.73945475132105,25063
BX30,Kingsbridge Heights,40.86526567552461,-73.90591108498285,32496
BX36,University Heights-Morris Heights,40.85252203480638,-73.91597420552891,54188
BK72,Williamsburg,40.703916526132,-73.95859674795682,32926
BX22,North Riverdale-Fieldston-Riverdale,40.89953496820569,-73.9069847604234,27860
BK44,Madison,40.60491359561196,-73.94813559482512,38917
BK43,Midwood,40.62092403927339,-73.95682458081475,52835
QN34,Queens Village,40.71545452531067,-73.74153181008387,52504
QN01,South Jamaica,40.69442746765774,-73.79096387824596,38894
BK95,Erasmus,40.6461118953468,-73.9516232199433,29938
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,40.6145798899856,-73.91524588487795,45231
BX29,Spuyten Duyvil-Kingsbridge,40.88240602000621,-73.91066684061103,30161
QN54,Richmond Hill,40.694540694422244,-73.83092640099397,62982
BX98,Rikers Island,40.791130324535665,-73.88265513781992,11091
QN48,Auburndale,40.751035622989804,-73.78794881529473,19996
QN70,Astoria,40.76149375451989,-73.91969704447682,78793
QN06,Jamaica Estates-Holliswood,40.72065535481476,-73.77610063972261,25480
BK77,Bushwick North,40.700560683154535,-73.91776601133527,57138
QN61,Jamaica,40.704368757648346,-73.79397966825385,53751
QN25,Corona,40.742348941749,-73.85837079063434,57658
QN20,Ridgewood,40.706531363612704,-73.90171541060506,69317
QN50,Elmhurst-Maspeth,40.738316417142556,-73.89217317475966,25521
BK35,Stuyvesant Heights,40.68816824316435,-73.93188820624536,63504
BX06,Belmont,40.85778148187093,-73.88586708731046,27378
BX17,East Tremont,40.84496706418226,-73.88552387705329,43423
BK90,East Williamsburg,40.71536854625292,-73.93679688042977,34158
BX01,Claremont-Bathgate,40.842746663786684,-73.90031781559387,31078
BX40,Fordham South,40.85815440178615,-73.89953703434388,28262
MN15,Clinton,40.76416511873816,-73.9923992723976,45884
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,40.74758077289947,-73.99901992342878,70150
MN32,Yorkville,40.77732494193296,-73.94868255727877,77942
MN01,Marble Hill-Inwood,40.86788284818757,-73.91766203747093,46746
