NTA_lat,NTA_long,Population,traffic,buildings,legalstories,rating,price,rest_insp_score,density/p_meter,acres,wellbeing/hotels,wellbeing/libraries,DAY CARE,NON-PUBLIC K-12 SCHOOLS,HOSPITALS AND CLINICS,PUBLIC K-12 SCHOOLS
40.76835158791792,-73.80954590112775,51739.0,244.0324074074074,70.0,1.0,3.23,1.96,19.68421052631579,62.0,14.806,7.0,2.0,13.0,4.0,1.0,4.0
40.763352201155264,-73.86839559826987,23150.0,290.0,62.0,2.193548387096774,2.67,1.9,16.1,24.0,489.933,5.0,2.0,3.0,0.0,0.0,3.0
40.73489448639476,-73.78371636114144,17812.0,618.412037037037,23.0,2.0869565217391304,2.7,1.92,23.574257425742573,58.0,53.624,3.0,2.0,4.0,5.0,5.0,4.0
40.755733929854735,-73.98350302087132,28630.0,2500.0,8.0,10.0,2.57,2.0,19.110478359908885,350.0,9.889,100.0,4.0,9.0,0.0,3.0,2.0
40.81805458849719,-73.85618761808409,53686.0,290.0,355.0,2.754237288135593,2.94,1.9,20.73684210526316,0.0,309.824,0.0,1.0,4.0,2.0,5.0,15.0
40.69120183503448,-73.76314607498037,48593.0,885.9953703703703,89.0,2.02247191011236,2.49,1.96,27.70149253731343,11.0,60.977,0.0,1.0,9.0,1.0,0.0,3.0
40.68796681288217,-73.96236332341726,34791.0,1114.6157407407406,118.0,4.033898305084746,2.76,1.96,34.62222222222222,27.0,13.914,4.0,2.0,15.0,7.0,5.0,8.0
40.83782589267865,-73.92615881201503,37727.0,290.0,140.0,3.892086330935252,2.5,2.0,32.19230769230769,22.0,147.491,3.0,1.0,8.0,8.0,12.0,7.0
40.58840281805082,-73.98143050413951,29436.0,171.41435185185185,70.0,1.0,2.9,1.92,30.384615384615383,29.0,3.853,2.0,2.0,8.0,5.0,2.0,9.0
40.6173149605957,-73.9703258001996,20299.0,219.04861111111111,54.0,2.851851851851852,2.83,1.92,18.591549295774648,103.0,148.695,1.0,1.0,20.0,23.0,6.0,6.0
40.82790015500255,-73.86968191369107,35634.0,290.0,876.0,2.4365714285714284,3.0,1.94,20.423076923076923,38.0,3.403,2.0,0.0,3.0,1.0,4.0,6.0
40.70353497043596,-73.87574826054426,32496.0,290.0,70.0,1.0,3.73,1.64,19.62962962962963,30.0,582.3960000000001,0.0,1.0,3.0,3.0,3.0,9.0
40.8765133819302,-73.89562209795781,50100.0,244.7469135802469,70.0,1.0,2.55,2.0,20.846153846153847,46.0,33.621,1.0,1.0,7.0,2.0,5.0,14.0
40.67615527360135,-73.81945921646091,75878.0,290.0,78.0,1.9615384615384608,2.64,1.92,21.807692307692307,68.0,11.227,2.0,1.0,5.0,2.0,1.0,7.0
40.6536119760564,-73.97798272747355,20988.0,290.0,76.0,2.6973684210526314,2.8,1.96,24.109375,16.0,52.413,0.0,1.0,10.0,5.0,0.0,5.0
40.638042327711965,-73.89975089660601,83693.0,1260.8333333333337,145.0,1.9655172413793105,2.79,1.94,23.51578947368421,83.0,140.24499999999998,0.0,2.0,13.0,8.0,4.0,12.0
40.54033376720194,-74.20782757948685,20763.0,572.1435185185182,70.0,1.0,2.5,1.98,18.03846153846154,0.0,315.84000000000003,1.0,0.0,3.0,1.0,0.0,4.0
40.84905813130867,-73.90512194941381,51807.0,321.7106481481481,70.0,1.0,2.61,1.98,26.14,23.0,9.153,3.0,1.0,7.0,2.0,17.0,6.0
40.79037998138091,-73.97390784022548,120000.0,834.6944444444443,1442.0,6.138194444444444,3.15,1.88,19.460377358490565,150.0,30.712,36.0,2.0,42.0,24.0,9.0,16.0
40.877142279045074,-73.87902106926857,40494.0,715.664351851852,1406.0,2.836298932384341,2.6,1.98,24.51818181818182,92.0,102.684,2.0,1.0,13.0,4.0,18.0,11.0
40.86768209053005,-73.8901836362078,54415.0,417.5891203703704,330.0,3.7606060606060607,3.46,1.7,21.298969072164947,54.0,3.076,0.0,1.0,3.0,6.0,1.0,5.0
40.742675812407576,-73.75461549910108,28237.0,80.25925925925927,53.0,2.018867924528302,3.82,1.74,29.25925925925926,20.0,819.346,0.0,1.0,7.0,2.0,0.0,8.0
40.75257951269893,-73.86303630152253,52037.0,231.57407407407408,239.0,3.0376569037656904,3.6,1.76,36.56013745704468,131.0,9.038,5.0,1.0,12.0,3.0,4.0,8.0
