factype,latitude,longitude
BUS DEPOTS AND TERMINALS,40.608301,-73.919921
BUS DEPOTS AND TERMINALS,40.593778,-73.992128
BUS DEPOTS AND TERMINALS,40.654882,-73.891673
BUS DEPOTS AND TERMINALS,40.760453,-74.000464
BUS DEPOTS AND TERMINALS,40.592941,-73.779632
BUS DEPOTS AND TERMINALS,40.706811,-73.89537
BUS DEPOTS AND TERMINALS,40.788432,-73.950053
BUS DEPOTS AND TERMINALS,40.80484,-73.933621
BUS DEPOTS AND TERMINALS,40.870358,-73.913271
BUS DEPOTS AND TERMINALS,40.6429379613,-73.9201050495
BUS DEPOTS AND TERMINALS,40.6095690415,-73.9143931911
BUS DEPOTS AND TERMINALS,40.8885441284,-73.8669833664
BUS DEPOTS AND TERMINALS,40.825153604,-73.8445127713
BUS DEPOTS AND TERMINALS,40.6748172856,-73.9040097097
BUS DEPOTS AND TERMINALS,40.6218993741,-73.9748415289
BUS DEPOTS AND TERMINALS,40.6146437011,-73.9049114112
BUS DEPOTS AND TERMINALS,40.6650120702,-73.7826952545
BUS DEPOTS AND TERMINALS,40.6736404922,-73.8974784156
BUS DEPOTS AND TERMINALS,40.5460993017,-74.2277537977
BUS DEPOTS AND TERMINALS,40.6890723813,-73.8452363666
BUS DEPOTS AND TERMINALS,40.639123098,-74.1290508012
BUS DEPOTS AND TERMINALS,40.6890723813,-73.8452363666
BUS DEPOTS AND TERMINALS,40.8214636654,-73.8413623317
BUS DEPOTS AND TERMINALS,40.6217316162,-73.9745466919
BUS DEPOTS AND TERMINALS,40.8164631669,-73.8442586065
BUS DEPOTS AND TERMINALS,40.8310488237,-73.8452163531
BUS DEPOTS AND TERMINALS,40.7283212706,-73.940570542
BUS DEPOTS AND TERMINALS,40.6590642329,-73.8743058025
BUS DEPOTS AND TERMINALS,40.6735967342,-74.0094055083
BUS DEPOTS AND TERMINALS,40.8150408719,-73.8445183186
BUS DEPOTS AND TERMINALS,40.7019536073,-73.7774286132
BUS DEPOTS AND TERMINALS,40.8382717188,-73.8415246987
BUS DEPOTS AND TERMINALS,40.6095690415,-73.9143931911
BUS DEPOTS AND TERMINALS,40.5754043266,-74.0026139097
BUS DEPOTS AND TERMINALS,40.6556174196,-73.8919771292
BUS DEPOTS AND TERMINALS,40.8101951385,-73.8849139707
BUS DEPOTS AND TERMINALS,40.8214636654,-73.8413623317
BUS DEPOTS AND TERMINALS,40.6736404922,-73.8974784156
BUS DEPOTS AND TERMINALS,40.6890723813,-73.8452363666
BUS DEPOTS AND TERMINALS,40.8124558163,-73.8862638096
BUS DEPOTS AND TERMINALS,40.6104151448,-73.9137028859
BUS DEPOTS AND TERMINALS,40.6650120702,-73.7826952545
BUS DEPOTS AND TERMINALS,40.6650120702,-73.7826952545
BUS DEPOTS AND TERMINALS,40.6729666523,-74.0114469922
BUS DEPOTS AND TERMINALS,40.6650120702,-73.7826952545
BUS DEPOTS AND TERMINALS,40.8552181253,-73.8407848484
BUS DEPOTS AND TERMINALS,40.6623627638,-73.8702265371
BUS DEPOTS AND TERMINALS,40.671841046,-73.9019188042
BUS DEPOTS AND TERMINALS,40.5754043266,-74.0026139097
BUS DEPOTS AND TERMINALS,40.6719960853,-73.9004242764
BUS DEPOTS AND TERMINALS,40.8229235415,-73.843222883
BUS DEPOTS AND TERMINALS,40.6093922445,-74.188335618
BUS DEPOTS AND TERMINALS,40.8262404698,-73.8405706312
BUS DEPOTS AND TERMINALS,40.6806147076,-73.9049903843
BUS DEPOTS AND TERMINALS,40.6650120702,-73.7826952545
