the_geom,MeterNo,MeterType,LONG,LAT,Status,Borough,X,Y
POINT (-73.84754478941632 40.70987598797954),4522508,Strada,-73.8475447894,40.709875988,Active,Queens,1026516.62346,197940.238028
POINT (-73.84880089683506 40.71007062987071),4522507,Strada,-73.8488008968,40.7100706299,Active,Queens,1026168.25867,198010.548254
POINT (-73.8490458231945 40.71000174064222),4522506,Strada,-73.8490458232,40.7100017406,Active,Queens,1026100.3989,197985.332754
POINT (-73.849163601086 40.709980124244375),4522505,Strada,-73.8491636011,40.7099801242,Active,Queens,1026067.75986,197977.401011
POINT (-73.84945799115023 40.71018488626701),4522504,Strada,-73.8494579912,40.7101848863,Active,Queens,1025986.01527,198051.861492
POINT (-73.85025951820309 40.7103112991846),4522503,Strada,-73.8502595182,40.7103112992,Retired,Queens,1025763.72273,198097.536597
POINT (-73.85150628802356 40.71050914122013),4522502,Strada,-73.851506288,40.7105091412,Retired,Queens,1025417.94915,198169.027924
POINT (-73.88463841540559 40.70157924292695),4361748,Strada,-73.8846384154,40.7015792429,Active,Queens,1016236.7887,194901.766742
POINT (-73.88572633199644 40.70148804723784),4361747,Strada,-73.885726332,40.7014880472,Active,Queens,1015935.18104,194868.146075
POINT (-73.88638517682388 40.70143027240465),4361746,Strada,-73.8863851768,40.7014302724,Active,Queens,1015752.52753,194846.859372
POINT (-73.88763774848954 40.70132571967876),4361745,Strada,-73.8876377485,40.7013257197,Active,Queens,1015405.27003,194808.319751
POINT (-73.8888595561806 40.70132085089739),4361763,Strada,-73.8888595562,40.7013208509,Active,Queens,1015066.49544,194806.113718
POINT (-73.88814754004677 40.70128321043397),4361744,Strada,-73.88814754,40.7012832104,Active,Queens,1015263.9373,194792.651475
POINT (-73.88927889900916 40.701187754050274),4361743,Strada,-73.889278899,40.7011877541,Active,Queens,1014950.2834,194757.475364
POINT (-73.88985903249859 40.70113775407239),4361742,Strada,-73.8898590325,40.7011377541,Active,Queens,1014789.44941,194739.05611
POINT (-73.95421333517683 40.7434414664834),4152137,Strada,-73.9542133352,40.7434414665,Active,Queens,996937.491017,210135.718558
POINT (-73.95408227518517 40.74350097293414),4152138,Strada,-73.9540822752,40.7435009729,Active,Queens,996973.796391,210157.417661
POINT (-73.95370934415938 40.74481874693107),4152145,Strada,-73.9537093442,40.7448187469,Active,Queens,997076.881815,210637.579103
POINT (-73.95410766890679 40.74295164679465),4152136,Strada,-73.9541076689,40.7429516468,Active,Queens,996966.864646,209957.276986
POINT (-73.95359876008831 40.74447481690293),4152134,Strada,-73.9535987601,40.7444748169,Active,Queens,997107.590415,210512.290639
POINT (-73.93262293871543 40.74278172095463),4151985,Strada,-73.9326229387,40.742781721,Active,Queens,1002920.37669,209899.216734
POINT (-73.93250691167324 40.74264816003513),4151981,Strada,-73.9325069117,40.74264816,Active,Queens,1002952.5656,209850.581005
